complaint_text,category,days_pending,location_type,priority
Waste dumping issue immediate action needed,Garbage,4,Market,Medium
Drain cleaning required urgently kindly look into this,Drainage,7,Hospital Area,High
Streetlight not working dangerous situation,Electricity,4,Market,High
Overflowing dustbins near road please resolve soon,Garbage,8,Residential,High
Loose electric wires hanging causing problems,Electricity,2,Hospital Area,Low
Drain watr mixed on road dangerous situation,Drainage,10,School Area,High
Streetlight not working causing problems,Electricity,9,Highway,Critical
Frequent power cuts,Electricity,1,Hospital Area,Low
Garbage scattered everywhere and also Water leakage for {} days not fixed yet,Garbage,6,Market,Medium
Water logging problem and also Low water pressure in area kindly look into this,Drainage,8,Residential,High
Drain water mixed on road and also Low water pressure in area not fixed yet,Drainage,7,Residential,High
Electric pole sparking dangerous situation,Electricity,2,School Area,High
Big pothole near school dangerous situation,Road Damage,4,Hospital Area,High
Road sinking problem,Road Damage,3,Market,Low
Road sinking problem,Road Damage,2,Highway,Critical
Pipeline burst near market,Water Issue,3,Market,Low
Pipeline burst near market,Water Issue,2,School Area,Low
Big pothole near school very urgent,Road Damage,1,Highway,Critical
Drain blockage for 6 days kindly look into this,Drainage,6,Market,Medium
Streetlight not working not fixed yet,Electricity,7,School Area,High
Frequent power cuts citizens suffering,Electricity,6,Highway,Critical
Sewage overflow,Drainage,7,Market,High
Big pothole near school please resolve soon,Road Damage,9,School Area,High
Frequent power cuts very urgent,Electricity,6,Market,Medium
Dirty watr coming from taps,Water Issue,6,School Area,Medium
Pothole causing accidents kindly look into this,Road Damage,8,Market,Critical
Garbage scattered everywhere dangerous situation,Garbage,10,Hospital Area,High
Bad smell due to garbge,Garbage,2,Residential,Low
Drain blockage for 1 days not fixed yet,Drainage,1,School Area,Low
Low water pressure in area and also No proper water supply dangerous situation,Water Issue,4,Hospital Area,High
Road cracked badly after rain and also Road sinking problem causing problems,Road Damage,10,School Area,High
Frequent power cuts,Electricity,10,Residential,High
Big pothole near school and also Bad smell due to garbage,Road Damage,8,School Area,High
Drain blockage for 4 days dangerous situation,Drainage,4,Highway,Critical
Waste dumping issue very urgent,Garbage,5,Hospital Area,Medium
Bad smell due to garbage please resolve soon,Garbage,4,Highway,Critical
Streetlight not working please resolve soon,Electricity,4,School Area,Medium
Waste dumping issue causing problems,Garbage,6,Residential,Medium
Pothole causing accidents and also Power outage for {} hours causing problems,Road Damage,3,Highway,Critical
Waste dumping issue very urgent,Garbage,10,Residential,High
Pipeline burst near market causing problems,Water Issue,2,Market,Low
Uneven road surface dangerous situation,Road Damage,4,Residential,High
Frequent power cuts dangerous situation,Electricity,6,Hospital Area,High
Uneven road surface,Road Damage,10,Residential,High
Overflowing dustbins near raod,Garbage,7,School Area,High
Low water pressure in area,Water Issue,1,Hospital Area,Low
No proper water supply dangerous situation,Water Issue,10,Residential,High
Road sinking problem causing problems,Road Damage,5,Market,Medium
Power outage for 3 hours citizens suffering,Electricity,3,Hospital Area,Low
Drain blockage for 8 days,Drainage,8,Hospital Area,High
Electric pole sparking and also Big pothole near school please resolve soon,Electricity,9,Highway,Critical
Road cracked badly after rain dangerous situation,Road Damage,6,Highway,Critical
Drain water mixed on road,Drainage,10,School Area,High
Drain cleaning required urgently not fixed yet,Drainage,3,Market,Low
No proper water supply kindly look into this,Water Issue,9,Highway,Critical
Garbage scattered everywhere,Garbage,9,Residential,High
Loose electric wires hanging and also Drain cleaning required urgently dangerous situation,Electricity,7,Highway,Critical
Pipeline burst near market please resolve soon,Water Issue,2,School Area,Low
Water leakage for 7 days and also Road cracked badly after rain please resolve soon,Water Issue,7,Market,High
Overflowing dustbins near road dangerous situation,Garbage,9,Market,High
Garbage not collected for 7 days and also No proper water supply since many days,Garbage,7,Residential,High
Garbage scattered everywhere and also Pothole causing accidents please resolve soon,Garbage,10,School Area,Critical
Power outage for 2 hours and also Dirty watr coming from taps very urgent,Electricity,2,Highway,Critical
Pothole causing accidents and also Sewage overflow since many days,Road Damage,1,Market,Critical
Drain cleaning required urgently and also No proper water supply causing problems,Drainage,9,Residential,High
Bad smell due to garbage causing problems,Garbage,6,School Area,Medium
Uneven road surface kindly look into this,Road Damage,7,Market,High
Power outage for 10 hours causing problems,Electricity,10,Residential,High
Pothole causing accidents immediate action needed,Road Damage,1,Market,Critical
Garbage scattered everywhere and also Bad smell due to garbage causing problems,Garbage,2,Residential,Low
Loose electric wires hanging not fixed yet,Electricity,9,Highway,Critical
Streetlight not working and also Waste dumping issue kindly look into this,Electricity,4,Highway,Critical
Pothole causing accidents and also Dirty watr coming from taps,Road Damage,5,School Area,Critical
Low water pressure in area since many days,Water Issue,7,Residential,High
Electric pole sparking,Electricity,2,Hospital Area,High
Power outage for 2 hours dangerous situation,Electricity,2,Hospital Area,High
Drain blockage for 6 days since many days,Drainage,6,School Area,Medium
Streetlight not working immediate action needed,Electricity,7,Market,High
Sewage overflow and also Pothole causing accidents causing problems,Drainage,2,Highway,Critical
Power outage for 8 hours and also Loose electric wires hanging,Electricity,8,Hospital Area,High
Waste dumping issue not fixed yet,Garbage,7,School Area,High
Low water pressure in area kindly look into this,Water Issue,4,School Area,Medium
Overflowing dustbins near road very urgent,Garbage,1,Market,Low
Drain cleaning required urgently not fixed yet,Drainage,10,Highway,Critical
Dirty water coming from taps and also Road sinking problem,Water Issue,2,Highway,Critical
Garbage scattered everywhere very urgent,Garbage,6,Residential,Medium
Overflowing dustbins near road,Garbage,3,Market,Low
Big pothole near school kindly look into this,Road Damage,6,Highway,Critical
Drain water mixed on road dangerous situation,Drainage,10,Market,High
Uneven raod surface and also Loose electric wires hanging not fixed yet,Road Damage,1,Highway,Critical
Road cracked badly after rain and also Pipeline burst near market,Road Damage,6,Market,Medium
Streetlight not working and also Frequent power cuts causing problems,Electricity,9,Highway,Critical
Drain cleaning required urgently please resolve soon,Drainage,3,Hospital Area,Low
Road cracked badly after rain and also Road sinking problem citizens suffering,Road Damage,6,School Area,Medium
Drain blockage for 10 days,Drainage,10,School Area,High
Uneven road surface and also Water logging problem,Road Damage,2,Highway,Critical
Garbage not collected for 3 days,Garbage,3,Residential,Low
Road cracked badly after rain kindly look into this,Road Damage,4,Highway,Critical
Water leakage for 7 days,Water Issue,7,Highway,Critical
Low water pressure in area,Water Issue,4,Residential,Medium
Low water pressure in area and also Pipeline burst near market not fixed yet,Water Issue,1,Highway,Critical
Frequent power cuts,Electricity,2,Residential,Low
Drain blockage for 7 days,Drainage,7,Highway,Critical
Drain cleaning required urgently citizens suffering,Drainage,8,Hospital Area,High
Waste dumping issue,Garbage,10,Residential,High
Pothole causing accidents dangerous situation,Road Damage,8,Residential,Critical
Loose electric wires hanging and also Power outage for {} hours since many days,Electricity,2,Hospital Area,Low
Low water pressure in area dangerous situation,Water Issue,10,Hospital Area,High
Water leakage for 10 days dangerous situation,Water Issue,10,School Area,High
Pothole causing accidents,Road Damage,8,Highway,Critical
Drain blockage for 3 days immediate action needed,Drainage,3,Highway,Critical
Road cracked badly after rain and also Dirty water coming from taps,Road Damage,7,Hospital Area,High
Frequent power cuts,Electricity,1,Highway,Critical
Low water pressure in area not fixed yet,Water Issue,10,Highway,Critical
Electric pole sparking,Electricity,9,School Area,High
Big pothole near school kindly look into this,Road Damage,4,Hospital Area,Medium
Dirty water coming from taps kindly look into this,Water Issue,7,School Area,High
Drain cleaning required urgently,Drainage,7,Residential,High
Garbage scattered everywhere and also Power outage for {} hours,Garbage,1,Highway,Critical
Garbage not collected for 4 days citizens suffering,Garbage,4,Residential,Medium
Drain cleaning required urgently,Drainage,3,Residential,Low
No proper water supply and also Water leakage for {} days,Water Issue,6,Highway,Critical
Pipeline burst near market and also Sewage overflow,Water Issue,10,Market,High
Power outage for 6 hours kindly look into this,Electricity,6,Hospital Area,Medium
Garbage scattered everywhere,Garbage,6,School Area,Medium
Drain blockage for 10 days immediate action needed,Drainage,10,Highway,Critical
Loose electric wires hanging and also Road cracked badly after rain,Electricity,1,Hospital Area,Low
Uneven road surface,Road Damage,4,Market,Medium
Road sinking problem,Road Damage,7,Market,High
Waste dumping issue causing problems,Garbage,6,Market,Medium
Overflowing dustbins near road please resolve soon,Garbage,10,Highway,Critical
Bad smell due to garbage very urgent,Garbage,5,Market,Medium
Water leakage for 10 days and also Road cracked badly after rain causing problems,Water Issue,10,Market,High
Water leakage for 9 days and also Drain watr mixed on road citizens suffering,Water Issue,9,Highway,Critical
Garbage scattered everywhere dangerous situation,Garbage,3,Hospital Area,High
Garbage scattered everywhere kindly look into this,Garbage,7,Market,High
Pothole causing accidents not fixed yet,Road Damage,9,Market,Critical
Frequent power cuts and also Big pothole near school causing problems,Electricity,9,Market,High
Waste dumping issue citizens suffering,Garbage,7,School Area,High
Big pothole near school,Road Damage,10,Highway,Critical
Bad smell due to garbage very urgent,Garbage,10,Highway,Critical
Garbage not collected for 4 days and also Big pothole near school causing problems,Garbage,4,School Area,Medium
Sewage overflow causing problems,Drainage,5,Residential,Medium
Road cracked badly after rain citizens suffering,Road Damage,5,Highway,Critical
Drain blockage for 7 days not fixed yet,Drainage,7,Residential,High
Power outage for 1 hours,Electricity,1,Highway,Critical
Pipeline burst near market citizens suffering,Water Issue,7,School Area,High
Water logging problem immediate action needed,Drainage,9,Hospital Area,High
Uneven raod surface,Road Damage,9,Hospital Area,High
Drain water mixed on road not fixed yet,Drainage,4,Highway,Critical
Overflowing dustbins near raod citizens suffering,Garbage,3,Highway,Critical
Bad smell due to garbage please resolve soon,Garbage,10,Highway,Critical
Water leakage for 5 days and also No proper water supply,Water Issue,5,Market,Medium
Road cracked badly after rain and also Low water pressure in area dangerous situation,Road Damage,8,Market,High
Bad smell due to garbage dangerous situation,Garbage,9,School Area,High
Waste dumping issue and also Drain water mixed on road since many days,Garbage,2,Market,Low
Sewage overflow please resolve soon,Drainage,2,Hospital Area,Low
Streetlight not working and also Pipeline burst near market,Electricity,8,Hospital Area,High
Road cracked badly after rain and also Road cracked badly after rain immediate action needed,Road Damage,5,Residential,Medium
Frequent power cuts very urgent,Electricity,1,Residential,Low
Road sinking problem,Road Damage,3,Highway,Critical
Streetlight not working,Electricity,9,Highway,Critical
Big pothole near school and also Pipeline burst near market,Road Damage,5,Residential,Medium
Frequent power cuts and also Road sinking problem,Electricity,1,School Area,Low
Overflowing dustbins near road and also Sewage overflow not fixed yet,Garbage,4,Residential,Medium
Sewage overflow not fixed yet,Drainage,10,Hospital Area,High
Water leakage for 5 days citizens suffering,Water Issue,5,Hospital Area,Medium
Garbage not collected for 9 days citizens suffering,Garbage,9,Highway,Critical
Uneven road surface,Road Damage,1,Highway,Critical
Water leakage for 7 days not fixed yet,Water Issue,7,Residential,High
Garbage scattered everywhere and also Electric pole sparking,Garbage,7,Highway,Critical
Pothole causing accidents not fixed yet,Road Damage,10,Highway,Critical
Pothole causing accidents,Road Damage,2,School Area,Critical
Sewage overflow dangerous situation,Drainage,3,Hospital Area,High
Low water pressure in area very urgent,Water Issue,8,Market,High
Drain water mixed on road,Drainage,1,Hospital Area,Low
Power outage for 1 hours,Electricity,1,Residential,Low
Water logging problem and also Bad smell due to garbage,Drainage,9,Highway,Critical
Loose electric wires hanging,Electricity,10,Residential,High
Low water pressure in area,Water Issue,5,Residential,Medium
Road cracked badly after rain citizens suffering,Road Damage,4,Residential,Medium
Streetlight not working kindly look into this,Electricity,9,Hospital Area,High
Drain water mixed on road and also Road sinking problem dangerous situation,Drainage,10,Hospital Area,High
Dirty water coming from taps not fixed yet,Water Issue,2,Hospital Area,Low
Dirty water coming from taps,Water Issue,2,Market,Low
Drain water mixed on road,Drainage,6,Residential,Medium
Drain water mixed on road kindly look into this,Drainage,7,Residential,High
Water leakage for 7 days and also Electric pole sparking please resolve soon,Water Issue,7,Hospital Area,High
No proper water supply causing problems,Water Issue,1,Highway,Critical
Power outage for 3 hours please resolve soon,Electricity,3,Market,Low
Bad smell due to garbage kindly look into this,Garbage,7,Hospital Area,High
Garbage scattered everywhere kindly look into this,Garbage,7,Hospital Area,High
Streetlight not working since many days,Electricity,6,Highway,Critical
Drain cleaning required urgently and also Drain cleaning required urgently,Drainage,9,Highway,Critical
Dirty watr coming from taps causing problems,Water Issue,8,School Area,High
Bad smell due to garbage very urgent,Garbage,9,Highway,Critical
Water logging problem and also Water logging problem not fixed yet,Drainage,6,Hospital Area,Medium
Electric pole sparking dangerous situation,Electricity,2,Market,High
Streetlight not working and also Uneven road surface dangerous situation,Electricity,2,Residential,High
Road sinking problem causing problems,Road Damage,7,School Area,High
Streetlight not working immediate action needed,Electricity,6,Residential,Medium
Drain water mixed on road causing problems,Drainage,7,School Area,High
Road sinking problem and also Waste dumping issue please resolve soon,Road Damage,5,Market,Medium
No proper water supply citizens suffering,Water Issue,1,School Area,Low
Electric pole sparking not fixed yet,Electricity,4,Residential,High
Drain cleaning required urgently,Drainage,4,School Area,Medium
Power outage for 9 hours causing problems,Electricity,9,School Area,High
Overflowing dustbins near raod causing problems,Garbage,7,School Area,High
Low water pressure in area and also Drain blockage for {} days immediate action needed,Water Issue,3,School Area,Low
Pipeline burst near market,Water Issue,1,Residential,Low
Streetlight not working not fixed yet,Electricity,1,Residential,Low
Sewage overflow not fixed yet,Drainage,3,Residential,Low
Electric pole sparking and also Loose electric wires hanging not fixed yet,Electricity,5,Hospital Area,High
Road cracked badly after rain kindly look into this,Road Damage,10,Market,High
Pothole causing accidents,Road Damage,2,Market,Critical
Power outage for 5 hours and also Low water pressure in area since many days,Electricity,5,Residential,Medium
Pothole causing accidents citizens suffering,Road Damage,2,School Area,Critical
Loose electric wires hanging since many days,Electricity,5,School Area,Medium
Garbage not collected for 5 days,Garbage,5,Residential,Medium
Big pothole near school,Road Damage,7,Market,High
Loose electric wires hanging dangerous situation,Electricity,6,Residential,High
Drain watr mixed on road not fixed yet,Drainage,4,Hospital Area,Medium
Sewage overflow and also Electric pole sparking immediate action needed,Drainage,8,Hospital Area,High
Waste dumping issue and also Big pothole near school very urgent,Garbage,6,Residential,Medium
Drain cleaning required urgently and also Low water pressure in area very urgent,Drainage,3,School Area,Low
Frequent power cuts very urgent,Electricity,9,Highway,Critical
Streetlight not working and also Loose eletric wires hanging not fixed yet,Electricity,6,Market,Medium
Road cracked badly after rain immediate action needed,Road Damage,5,Residential,Medium
No proper water supply,Water Issue,8,Hospital Area,High
Low water pressure in area citizens suffering,Water Issue,8,School Area,High
Waste dumping issue dangerous situation,Garbage,6,School Area,High
Power outage for 7 hours,Electricity,7,Highway,Critical
Pothole causing accidents,Road Damage,10,Market,Critical
Road sinking problem citizens suffering,Road Damage,4,School Area,Medium
Road sinking problem please resolve soon,Road Damage,8,Market,High
Frequent power cuts dangerous situation,Electricity,5,Highway,Critical
Water logging problem not fixed yet,Drainage,5,Residential,Medium
Drain blockage for 10 days,Drainage,10,Residential,High
Uneven raod surface,Road Damage,4,Residential,Medium
Road cracked badly after rain citizens suffering,Road Damage,2,Highway,Critical
Big pothole near school and also No proper water supply since many days,Road Damage,7,Residential,High
Drain cleaning required urgently very urgent,Drainage,5,Residential,Medium
Road sinking problem and also Road cracked badly after rain please resolve soon,Road Damage,6,Market,Medium
Dirty water coming from taps very urgent,Water Issue,6,Residential,Medium
Pipeline burst near market,Water Issue,7,Hospital Area,High
Garbage scattered everywhere,Garbage,4,Highway,Critical
Electric pole sparking,Electricity,4,School Area,High
Water logging problem immediate action needed,Drainage,9,Highway,Critical
Electric pole sparking and also Loose electric wires hanging please resolve soon,Electricity,6,Residential,High
Pothole causing accidents,Road Damage,2,Residential,Critical
Drain blockage for 2 days,Drainage,2,Highway,Critical
Road cracked badly after rain immediate action needed,Road Damage,3,Residential,Low
Uneven road surface and also Road sinking problem please resolve soon,Road Damage,8,Residential,High
Garbage not collected for 3 days and also Waste dumping issue immediate action needed,Garbage,3,Market,Low
Streetlight not working and also Loose electric wires hanging immediate action needed,Electricity,6,Market,Medium
Bad smell due to garbage causing problems,Garbage,5,Highway,Critical
Low water pressure in area and also Big pothole near school very urgent,Water Issue,4,School Area,Medium
Garbage not collected for 8 days since many days,Garbage,8,Highway,Critical
Dirty water coming from taps,Water Issue,8,Residential,High
Garbage scattered everywhere and also Uneven road surface,Garbage,1,School Area,Low
Drain blockage for 4 days,Drainage,4,Hospital Area,Medium
No proper water supply dangerous situation,Water Issue,4,School Area,High
Waste dumping issue immediate action needed,Garbage,1,School Area,Low
Sewage overflow causing problems,Drainage,9,Highway,Critical
Sewage overflow immediate action needed,Drainage,10,Hospital Area,High
Garbage scattered everywhere very urgent,Garbage,6,Hospital Area,Medium
Drain blockage for 5 days,Drainage,5,Hospital Area,Medium
Garbage not collected for 4 days kindly look into this,Garbage,4,Market,Medium
Water leakage for 2 days kindly look into this,Water Issue,2,Residential,Low
Road cracked badly after rain,Road Damage,5,Hospital Area,Medium
Water leakage for 8 days and also No proper water supply,Water Issue,8,Hospital Area,High
Power outage for 6 hours immediate action needed,Electricity,6,Hospital Area,Medium
Big pothole near school,Road Damage,7,Highway,Critical
Waste dumping issue,Garbage,6,Residential,Medium
Drain water mixed on road,Drainage,10,School Area,High
Overflowing dustbins near road and also Drain blockage for {} days immediate action needed,Garbage,6,Market,Medium
Bad smell due to garbage since many days,Garbage,7,School Area,High
Pipeline burst near market,Water Issue,10,School Area,High
Uneven road surface causing problems,Road Damage,9,Hospital Area,High
Waste dumping issue and also Electric pole sparking,Garbage,7,Highway,Critical
Pipeline burst near market and also Water logging problem please resolve soon,Water Issue,7,Residential,High
Waste dumping issue immediate action needed,Garbage,7,Market,High
Overflowing dustbins near road,Garbage,2,School Area,Low
No proper watr supply since many days,Water Issue,7,Residential,High
Streetlight not working,Electricity,9,Market,High
Drain blockage for 6 days causing problems,Drainage,6,School Area,Medium
Drain water mixed on road citizens suffering,Drainage,10,Market,High
Streetlight not working kindly look into this,Electricity,5,Highway,Critical
Water logging problem causing problems,Drainage,3,Residential,Low
Dirty water coming from taps and also Big pothole near school citizens suffering,Water Issue,7,Market,High
Drain water mixed on road not fixed yet,Drainage,9,Market,High
Waste dumping issue kindly look into this,Garbage,10,Market,High
Road sinking problem,Road Damage,10,School Area,High
Water logging problem causing problems,Drainage,4,School Area,Medium
Streetlight not working kindly look into this,Electricity,7,Market,High
Sewage overflow since many days,Drainage,5,Residential,Medium
No proper watr supply since many days,Water Issue,8,Highway,Critical
Electric pole sparking citizens suffering,Electricity,8,Market,High
Road sinking problem dangerous situation,Road Damage,4,Hospital Area,High
No proper water supply and also Power outage for {} hours citizens suffering,Water Issue,6,Hospital Area,Medium
Garbage scattered everywhere and also Low water pressure in area very urgent,Garbage,6,Highway,Critical
Road sinking problem immediate action needed,Road Damage,4,Hospital Area,Medium
Drain blockage for 10 days causing problems,Drainage,10,School Area,High
Pothole causing accidents,Road Damage,10,School Area,Critical
Waste dumping issue not fixed yet,Garbage,5,Hospital Area,Medium
Pipeline burst near market dangerous situation,Water Issue,6,Residential,High
Pipeline burst near market,Water Issue,7,Hospital Area,High
Garbage not collected for 5 days kindly look into this,Garbage,5,Hospital Area,Medium
Road cracked badly after rain dangerous situation,Road Damage,3,Market,High
Drain water mixed on road causing problems,Drainage,8,Residential,High
Garbage scattered everywhere citizens suffering,Garbage,1,Market,Low
Streetlight not working kindly look into this,Electricity,6,Market,Medium
Water leakage for 7 days very urgent,Water Issue,7,School Area,High
No proper water supply causing problems,Water Issue,6,Market,Medium
Sewage overflow not fixed yet,Drainage,1,School Area,Low
Electric pole sparking,Electricity,3,School Area,High
Waste dumping issue,Garbage,5,Highway,Critical
Power outage for 1 hours causing problems,Electricity,1,School Area,Low
Bad smell due to garbage not fixed yet,Garbage,9,Market,High
Low water pressure in area immediate action needed,Water Issue,7,School Area,High
Dirty water coming from taps kindly look into this,Water Issue,8,Residential,High
Road sinking problem,Road Damage,4,Market,Medium
Road sinking problem and also Road cracked badly after rain,Road Damage,7,Market,High
Bad smell due to garbage,Garbage,1,Residential,Low
Streetlight not working and also Pipeline burst near market,Electricity,1,School Area,Low
Overflowing dustbins near road dangerous situation,Garbage,3,Market,High
Road cracked badly after rain,Road Damage,10,Market,High
Bad smell due to garbage not fixed yet,Garbage,3,Residential,Low
Water logging problem and also Garbage not collected for {} days please resolve soon,Drainage,3,School Area,Low
Loose electric wires hanging and also Road cracked badly after rain causing problems,Electricity,3,Residential,Low
Overflowing dustbins near raod,Garbage,2,Hospital Area,Low
Frequent power cuts,Electricity,3,Market,Low
Low water pressure in area very urgent,Water Issue,1,School Area,Low
Road sinking problem,Road Damage,3,Residential,Low
Low water pressure in area dangerous situation,Water Issue,1,Hospital Area,High
Garbage not collected for 4 days and also Low water pressure in area very urgent,Garbage,4,Market,Medium
Big pothole near school please resolve soon,Road Damage,7,Hospital Area,High
Streetlight not working citizens suffering,Electricity,8,Residential,High
Pothole causing accidents causing problems,Road Damage,4,Highway,Critical
Water leakage for 8 days dangerous situation,Water Issue,8,Market,High
Low watr pressure in area,Water Issue,8,School Area,High
Loose electric wires hanging and also No proper water supply very urgent,Electricity,2,Highway,Critical
Garbage not collected for 10 days since many days,Garbage,10,School Area,High
Drain cleaning required urgently please resolve soon,Drainage,3,Market,Low
Frequent power cuts and also Loose electric wires hanging please resolve soon,Electricity,2,Market,Low
Streetlight not working since many days,Electricity,1,Hospital Area,Low
Frequent power cuts and also Garbage scattered everywhere very urgent,Electricity,4,Highway,Critical
Low water pressure in area,Water Issue,3,Hospital Area,Low
Drain cleaning required urgently and also Water logging problem citizens suffering,Drainage,9,School Area,High
Pothole causing accidents not fixed yet,Road Damage,5,Hospital Area,Critical
Waste dumping issue very urgent,Garbage,3,Market,Low
Pipeline burst near market,Water Issue,6,Hospital Area,Medium
Big pothole near school citizens suffering,Road Damage,1,Market,Low
Sewage overflow dangerous situation,Drainage,3,Hospital Area,High
Drain water mixed on road not fixed yet,Drainage,5,Hospital Area,Medium
Big pothole near school very urgent,Road Damage,8,School Area,High
Drain blockage for 8 days very urgent,Drainage,8,Market,High
Overflowing dustbins near road dangerous situation,Garbage,9,Hospital Area,High
Loose electric wires hanging and also No proper water supply,Electricity,5,Residential,Medium
Big pothole near school,Road Damage,3,Residential,Low
Low water pressure in area immediate action needed,Water Issue,7,Hospital Area,High
Road sinking problem very urgent,Road Damage,8,Highway,Critical
Sewage overflow dangerous situation,Drainage,10,Residential,High
Dirty water coming from taps and also Drain blockage for {} days immediate action needed,Water Issue,10,Residential,High
Garbage not collected for 1 days please resolve soon,Garbage,1,Hospital Area,Low
Waste dumping issue,Garbage,9,School Area,High
Sewage overflow and also Streetlight not working,Drainage,6,Hospital Area,Medium
Drain water mixed on road and also Road sinking problem very urgent,Drainage,4,Residential,Medium
Overflowing dustbins near road,Garbage,5,Residential,Medium
Loose electric wires hanging kindly look into this,Electricity,4,School Area,Medium
Dirty water coming from taps and also Drain water mixed on road kindly look into this,Water Issue,5,Residential,Medium
Sewage overflow dangerous situation,Drainage,10,Hospital Area,High
Streetlight not working,Electricity,7,Highway,Critical
Drain cleaning required urgently please resolve soon,Drainage,7,School Area,High
Pipeline burst near market,Water Issue,9,Highway,Critical
Loose electric wires hanging,Electricity,4,Residential,Medium
Big pothole near school and also Sewage overflow,Road Damage,10,School Area,High
Drain water mixed on road kindly look into this,Drainage,7,Residential,High
Water logging problem kindly look into this,Drainage,8,Market,High
Frequent power cuts immediate action needed,Electricity,3,Highway,Critical
Drain watr mixed on road and also Road cracked badly after rain immediate action needed,Drainage,5,Market,Medium
Garbage not collected for 3 days,Garbage,3,Hospital Area,Low
Road sinking problem immediate action needed,Road Damage,7,School Area,High
Drain watr mixed on road and also Drain blockage for {} days kindly look into this,Drainage,10,Hospital Area,High
No proper water supply immediate action needed,Water Issue,10,Residential,High
Pipeline burst near market,Water Issue,10,Residential,High
Low water pressure in area,Water Issue,1,Hospital Area,Low
Drain cleaning required urgently,Drainage,8,Market,High
Waste dumping issue since many days,Garbage,7,School Area,High
Road sinking problem and also Dirty water coming from taps,Road Damage,8,Hospital Area,High
Road cracked badly after rain,Road Damage,3,School Area,Low
Drain blockage for 3 days not fixed yet,Drainage,3,Hospital Area,Low
Road cracked badly after rain,Road Damage,1,Residential,Low
Pothole causing accidents very urgent,Road Damage,6,Hospital Area,Critical
Overflowing dustbins near road kindly look into this,Garbage,4,Market,Medium
Bad smell due to garbage and also Electric pole sparking,Garbage,1,Highway,Critical
Waste dumping issue,Garbage,1,Market,Low
Uneven road surface,Road Damage,8,Market,High
Dirty water coming from taps,Water Issue,8,Market,High
Uneven road surface immediate action needed,Road Damage,8,Market,High
No proper watr supply and also Big pothole near school not fixed yet,Water Issue,3,Hospital Area,Low
Big pothole near school very urgent,Road Damage,6,Residential,Medium
Drain water mixed on road,Drainage,8,Hospital Area,High
Garbage not collected for 9 days dangerous situation,Garbage,9,Residential,High
Electric pole sparking,Electricity,10,Residential,High
Loose electric wires hanging,Electricity,5,School Area,Medium
Uneven road surface and also Dirty water coming from taps citizens suffering,Road Damage,4,Hospital Area,Medium
Uneven road surface and also Low water pressure in area,Road Damage,10,Market,High
Pipeline burst near market and also Electric pole sparking kindly look into this,Water Issue,2,School Area,High
Drain cleaning required urgently immediate action needed,Drainage,6,Highway,Critical
Loose electric wires hanging citizens suffering,Electricity,1,School Area,Low
Streetlight not working and also Drain water mixed on road please resolve soon,Electricity,2,Hospital Area,Low
Water logging problem immediate action needed,Drainage,1,Residential,Low
Electric pole sparking and also Road cracked badly after rain causing problems,Electricity,4,Market,High
Pipeline burst near market since many days,Water Issue,4,School Area,Medium
Drain cleaning required urgently,Drainage,6,Hospital Area,Medium
Sewage overflow dangerous situation,Drainage,4,Hospital Area,High
Overflowing dustbins near road very urgent,Garbage,9,Residential,High
Sewage overflow immediate action needed,Drainage,7,Residential,High
Big pothole near school kindly look into this,Road Damage,8,Residential,High
Water leakage for 10 days and also Drain cleaning required urgently,Water Issue,10,Residential,High
Sewage overflow and also Water leakage for {} days please resolve soon,Drainage,8,Market,High
Overflowing dustbins near road very urgent,Garbage,8,Market,High
Pipeline burst near market causing problems,Water Issue,4,Highway,Critical
Water leakage for 10 days,Water Issue,10,Hospital Area,High
Uneven road surface and also Water leakage for {} days please resolve soon,Road Damage,6,Hospital Area,Medium
Big pothole near school,Road Damage,8,Highway,Critical
Streetlight not working and also Drain water mixed on road,Electricity,9,Market,High
Electric pole sparking and also Sewage overflow,Electricity,8,Residential,High
Power outage for 9 hours immediate action needed,Electricity,9,School Area,High
Overflowing dustbins near road causing problems,Garbage,5,Market,Medium
Dirty water coming from taps and also Road cracked badly after rain,Water Issue,5,Highway,Critical
Water leakage for 10 days,Water Issue,10,Market,High
Big pothole near school,Road Damage,2,Market,Low
Garbage not collected for 10 days immediate action needed,Garbage,10,Highway,Critical
Water leakage for 2 days citizens suffering,Water Issue,2,Market,Low
Pothole causing accidents,Road Damage,10,Highway,Critical
Overflowing dustbins near road,Garbage,1,Hospital Area,Low
Pipeline burst near market not fixed yet,Water Issue,1,Highway,Critical
No proper water supply and also Road cracked badly after rain please resolve soon,Water Issue,6,Hospital Area,Medium
Road sinking problem please resolve soon,Road Damage,5,Hospital Area,Medium
Drain blockage for 2 days,Drainage,2,Residential,Low
Bad smell due to garbage citizens suffering,Garbage,5,Hospital Area,Medium
Overflowing dustbins near road and also Sewage overflow causing problems,Garbage,1,Highway,Critical
Low water pressure in area immediate action needed,Water Issue,6,Residential,Medium
Drain blockage for 7 days and also Frequent power cuts very urgent,Drainage,7,School Area,High
Garbage scattered everywhere,Garbage,8,Highway,Critical
Pipeline burst near market and also Pipeline burst near market,Water Issue,9,School Area,High
Road sinking problem very urgent,Road Damage,1,School Area,Low
No proper watr supply,Water Issue,3,Residential,Low
Low water pressure in area,Water Issue,6,School Area,Medium
Streetlight not working,Electricity,8,Highway,Critical
Drain water mixed on road dangerous situation,Drainage,10,School Area,High
